DATE,PRCP,ACMH,AWND
19460901,0.02,-9999,-9999
19460902,0.01,-9999,-9999
19460903,0,-9999,-9999
19460904,0,-9999,-9999
19460905,0,-9999,-9999
19460906,0,-9999,-9999
19460907,0.03,-9999,-9999
19460908,0.23,-9999,-9999
19460909,0,-9999,-9999
19460910,0,-9999,-9999
19460911,0,-9999,-9999
19460912,0,-9999,-9999
19460913,0,-9999,-9999
19460914,0.37,-9999,-9999
19460915,4.71,-9999,-9999
19460916,0,-9999,-9999
19460917,0.15,-9999,-9999
19460918,0,-9999,-9999
19460919,0,-9999,-9999
19460920,0,-9999,-9999
19460921,0,-9999,-9999
19460922,0,-9999,-9999
19460923,0,-9999,-9999
19460924,0,-9999,-9999
19460925,3.27,-9999,-9999
19460926,3.8,-9999,-9999
19460927,3.13,-9999,-9999
19460928,0,-9999,-9999
19460929,0.06,-9999,-9999
19460930,0,-9999,-9999
19461001,0,-9999,-9999
19461002,0,-9999,-9999
19461003,0,-9999,-9999
19461004,0.17,-9999,-9999
19461005,0,-9999,-9999
19461006,0,-9999,-9999
19461007,0,-9999,-9999
19461008,0.42,-9999,-9999
19461009,0.01,-9999,-9999
19461010,0.02,-9999,-9999
19461011,0,-9999,-9999
19461012,0,-9999,-9999
19461013,0,-9999,-9999
19461014,0,-9999,-9999
19461015,0.65,-9999,-9999
19461016,0.04,-9999,-9999
19461017,0,-9999,-9999
19461018,0,-9999,-9999
19461019,0,-9999,-9999
19461020,0,-9999,-9999
19461021,0,-9999,-9999
19461022,0,-9999,-9999
19461023,0,-9999,-9999
19461024,0,-9999,-9999
19461025,0,-9999,-9999
19461026,0,-9999,-9999
19461027,0,-9999,-9999
19461028,0,-9999,-9999
19461029,0,-9999,-9999
19461030,0,-9999,-9999
19461031,0,-9999,-9999
19461101,0,-9999,-9999
19461102,0.08,-9999,-9999
19461103,1.07,-9999,-9999
19461104,0,-9999,-9999
19461105,0.02,-9999,-9999
19461106,0.09,-9999,-9999
19461107,0,-9999,-9999
19461108,0.01,-9999,-9999
19461109,0.24,-9999,-9999
19461110,0,-9999,-9999
19461111,0,-9999,-9999
19461112,0,-9999,-9999
19461113,0,-9999,-9999
19461114,0,-9999,-9999
19461115,0.01,-9999,-9999
19461116,0.33,-9999,-9999
19461117,0,-9999,-9999
19461118,0,-9999,-9999
19461119,0,-9999,-9999
19461120,0,-9999,-9999
19461121,0,-9999,-9999
19461122,0,-9999,-9999
19461123,0,-9999,-9999
19461124,0,-9999,-9999
19461125,0,-9999,-9999
19461126,0.01,-9999,-9999
19461127,0,-9999,-9999
19461128,0,-9999,-9999
19461129,0,-9999,-9999
19461130,0,-9999,-9999
19461201,0,-9999,-9999
19461202,0,-9999,-9999
19461203,0,-9999,-9999
19461204,0,-9999,-9999
19461205,0,-9999,-9999
19461206,0,-9999,-9999
19461207,0,-9999,-9999
19461208,0,-9999,-9999
19461209,0,-9999,-9999
19461210,0.61,-9999,-9999
19461211,0.99,-9999,-9999
19461212,0,-9999,-9999
19461213,0,-9999,-9999
19461214,0,-9999,-9999
19461215,0,-9999,-9999
19461216,0.01,-9999,-9999
19461217,0,-9999,-9999
19461218,0,-9999,-9999
19461219,0.03,-9999,-9999
19461220,0,-9999,-9999
19461221,0,-9999,-9999
19461222,0,-9999,-9999
19461223,0,-9999,-9999
19461224,0,-9999,-9999
19461225,0,-9999,-9999
19461226,0,-9999,-9999
19461227,0,-9999,-9999
19461228,0,-9999,-9999
19461229,0,-9999,-9999
19461230,0,-9999,-9999
19461231,0.79,-9999,-9999
19470101,0.34,-9999,-9999
19470102,0,-9999,-9999
19470103,0,-9999,-9999
19470104,0,-9999,-9999
19470105,0,-9999,-9999
19470106,0,-9999,-9999
19470107,0.01,-9999,-9999
19470108,0.36,-9999,-9999
19470109,0.37,-9999,-9999
19470110,0.04,-9999,-9999
19470111,0,-9999,-9999
19470112,0,-9999,-9999
19470113,0,-9999,-9999
19470114,0,-9999,-9999
19470115,0.01,-9999,-9999
19470116,0.2,-9999,-9999
19470117,0.63,-9999,-9999
19470118,0.11,-9999,-9999
19470119,0.07,-9999,-9999
19470120,0,-9999,-9999
19470121,0,-9999,-9999
19470122,0,-9999,-9999
19470123,0,-9999,-9999
19470124,0,-9999,-9999
19470125,0,-9999,-9999
19470126,0,-9999,-9999
19470127,0,-9999,-9999
19470128,0,-9999,-9999
19470129,0,-9999,-9999
19470130,0,-9999,-9999
19470131,0,-9999,-9999
19470201,0,-9999,-9999
19470202,0,-9999,-9999
19470203,0,-9999,-9999
19470204,0,-9999,-9999
19470205,0,-9999,-9999
19470206,0,-9999,-9999
19470207,0,-9999,-9999
19470208,0,-9999,-9999
19470209,0,-9999,-9999
19470210,0,-9999,-9999
19470211,0.03,-9999,-9999
19470212,0,-9999,-9999
19470213,0,-9999,-9999
19470214,0,-9999,-9999
19470215,0,-9999,-9999
19470216,0,-9999,-9999
19470217,0,-9999,-9999
19470218,0,-9999,-9999
19470219,0,-9999,-9999
19470220,0,-9999,-9999
19470221,0,-9999,-9999
19470222,0,-9999,-9999
19470223,0,-9999,-9999
19470224,0,-9999,-9999
19470225,0,-9999,-9999
19470226,0,-9999,-9999
19470227,0.23,-9999,-9999
19470228,0.03,-9999,-9999
19470301,0,-9999,-9999
19470302,0,-9999,-9999
19470303,0,-9999,-9999
19470304,0,-9999,-9999
19470305,0,-9999,-9999
19470306,0.09,-9999,-9999
19470307,0.02,-9999,-9999
19470308,0,-9999,-9999
19470309,0,-9999,-9999
19470310,0,-9999,-9999
19470311,0,-9999,-9999
19470312,0.09,-9999,-9999
19470313,0,-9999,-9999
19470314,0,-9999,-9999
19470315,0,-9999,-9999
19470316,0,-9999,-9999
19470317,0,-9999,-9999
19470318,1.22,-9999,-9999
19470319,0,-9999,-9999
19470320,0,-9999,-9999
19470321,0,-9999,-9999
19470322,0,-9999,-9999
19470323,0.04,-9999,-9999
19470324,0,-9999,-9999
19470325,0,-9999,-9999
19470326,0,-9999,-9999
19470327,0,-9999,-9999
19470328,0,-9999,-9999
19470329,0,-9999,-9999
19470330,0,-9999,-9999
19470331,0,-9999,-9999
19470401,0.01,-9999,-9999
19470402,0,-9999,-9999
19470403,0,-9999,-9999
19470404,0,-9999,-9999
19470405,0,-9999,-9999
19470406,0,-9999,-9999
19470407,0.01,-9999,-9999
19470408,0,-9999,-9999
19470409,0,-9999,-9999
19470410,0,-9999,-9999
19470411,0,-9999,-9999
19470412,0,-9999,-9999
19470413,0.02,-9999,-9999
19470414,0.02,-9999,-9999
19470415,0,-9999,-9999
